Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cin/create/129,536,3,44,886.3364654477864,11.327353000524454,13842.149887001142,3.0223880597014925,0.0744154298701446,0.0004165042716612571,44,76,480,1000,3000,5200,7900,11000,14000,14000,14000
POST,/cin/create/13,525,4,42,1102.4498542285874,10.698809999666992,14078.421186999549,3.137142857142857,0.07288824754072,0.0005553390288816762,42,63,580,960,4500,7200,10000,11000,14000,14000,14000
POST,/cin/create/130,571,5,46,1031.7849046287392,10.44579199879081,13725.646684000822,3.0472854640980738,0.07927464637285928,0.0006941737861020952,46,93,650,1300,3800,6000,9100,9800,14000,14000,14000
POST,/cin/create/131,505,2,46,1033.1808775742631,9.50384300085716,14329.003957998793,3.0297029702970297,0.07011155239631162,0.0002776695144408381,46,120,620,1200,3900,6600,9100,9700,14000,14000,14000
POST,/cin/create/132,527,1,43,1039.8747360265936,9.41980099923967,14041.953813999498,3.03415559772296,0.07316591705516083,0.00013883475722041905,43,59,340,670,3500,7600,11000,12000,14000,14000,14000
POST,/cin/create/133,542,4,45,1082.2071819225184,1.537014999485109,14077.091457998904,3.055350553505535,0.07524843841346712,0.0005553390288816762,45,80,700,1300,3900,6500,11000,12000,14000,14000,14000
POST,/cin/create/134,526,4,44,1034.4172781120822,14.000097999087302,13067.936267998448,3.076045627376426,0.07302708229794042,0.0005553390288816762,45,96,710,1100,3800,6400,9900,11000,13000,13000,13000
POST,/cin/create/135,497,6,44,1010.4209651971942,11.389000001145178,13588.863220998974,3.1951710261569417,0.06900087433854826,0.0008330085433225142,44,74,600,970,3200,7300,9400,12000,14000,14000,14000
POST,/cin/create/136,480,2,42,843.396519435489,2.2203130001798854,10620.806344000812,3.03125,0.06664068346580114,0.0002776695144408381,43,60,450,960,2800,5400,8400,10000,11000,11000,11000
POST,/cin/create/137,541,3,45,910.9721265101941,10.614169999826117,12765.53426800092,3.099815157116451,0.0751096036562467,0.0004165042716612571,45,78,590,920,2600,6000,8900,12000,13000,13000,13000
POST,/cin/create/138,561,4,46,1159.255799443847,9.80040799913695,13441.808560999561,3.10873440285205,0.07788629880065508,0.0005553390288816762,46,150,710,1500,3900,7900,10000,11000,13000,13000,13000
POST,/cin/create/139,529,2,43,795.5794954688072,5.893348999961745,12509.902375999445,3.068052930056711,0.07344358656960168,0.0002776695144408381,43,56,260,670,2600,5200,8900,11000,13000,13000,13000
POST,/cin/create/14,524,1,42,803.8153902366381,15.878131000135909,11145.864587000688,2.9942748091603053,0.07274941278349958,0.00013883475722041905,42,59,260,610,3200,5400,8900,9500,11000,11000,11000
POST,/cin/create/140,548,4,43,1035.6309363594871,11.341273000653018,17513.107946000673,3.1295620437956204,0.07608144695678963,0.0005553390288816762,43,61,620,1000,3800,6200,10000,12000,18000,18000,18000
POST,/cin/create/141,542,0,43,954.1895373228789,14.300826000180678,12385.924689000603,3.0,0.07524843841346712,0.0,43,63,430,810,3200,6600,9700,11000,12000,12000,12000
POST,/cin/create/142,534,1,45,1109.226751795892,14.21714800017071,14056.560547000117,2.99438202247191,0.07413776035570377,0.00013883475722041905,45,74,780,1700,4100,6500,9500,10000,14000,14000,14000
POST,/cin/create/143,519,3,42,816.7162232100052,9.233193000909523,13625.388083999496,3.1040462427745665,0.07205523899739748,0.0004165042716612571,42,60,340,740,2300,5500,9100,11000,14000,14000,14000
POST,/cin/create/144,519,4,43,1095.5305567167745,11.705101998813916,38788.047637001,3.098265895953757,0.07205523899739748,0.0005553390288816762,43,89,590,1100,4000,6900,9300,11000,39000,39000,39000
POST,/cin/create/145,518,3,45,928.332906945982,11.048559999835561,13002.16385100066,3.063706563706564,0.07191640424017706,0.0004165042716612571,45,62,460,820,3400,6700,8600,9300,13000,13000,13000
POST,/cin/create/146,532,1,44,1092.3926819811822,13.783329000943922,13421.412893001616,3.0338345864661656,0.07386009084126294,0.00013883475722041905,44,75,700,1500,3800,6800,11000,13000,13000,13000,13000
POST,/cin/create/147,518,3,43,954.7601192412857,12.697558000581921,39372.63522600006,3.1042471042471043,0.07191640424017706,0.0004165042716612571,43,58,330,800,3300,6400,9500,12000,39000,39000,39000
POST,/cin/create/148,516,4,44,993.1728764845167,5.401218999395496,11664.305305001108,3.058139534883721,0.07163873472573623,0.0005553390288816762,44,65,470,1200,3600,7100,9000,10000,12000,12000,12000
POST,/cin/create/149,524,3,46,1080.2928943510976,9.889535000183969,12977.37269100071,3.1030534351145036,0.07274941278349958,0.0004165042716612571,46,99,540,1200,3900,7300,9700,11000,13000,13000,13000
POST,/cin/create/15,512,0,43,981.8776562831549,13.612349999675644,13056.947834000312,3.0,0.07108339569685455,0.0,43,66,350,850,4000,6100,8500,11000,13000,13000,13000
POST,/cin/create/150,559,2,44,1032.9549484185864,9.736489999340847,13309.954648999337,3.026833631484794,0.07760862928621425,0.0002776695144408381,44,70,640,1100,3500,6700,9500,11000,13000,13000,13000
POST,/cin/create/151,529,1,45,1083.7362491228603,14.285556000686483,13825.039142000605,2.9943289224952743,0.07344358656960168,0.00013883475722041905,45,89,660,1400,4000,6200,10000,12000,14000,14000,14000
POST,/cin/create/152,535,3,43,971.1755615195877,11.0304139998334,32791.17220700027,3.061682242990654,0.07427659511292418,0.0004165042716612571,43,58,390,820,3200,7000,9500,11000,33000,33000,33000
POST,/cin/create/153,537,5,44,958.3369488789133,9.39481899877137,13248.64136100041,3.089385474860335,0.07455426462736503,0.0006941737861020952,44,81,610,1100,3200,6000,9400,10000,13000,13000,13000
POST,/cin/create/154,550,2,43,967.4740998599868,14.936624000256415,31730.756627999654,3.0272727272727273,0.07635911647123048,0.0002776695144408381,43,72,480,800,3200,6200,9900,12000,32000,32000,32000
